title,developer,publisher,genre,na_date,eu_date,jp_date,au_date,asia_date,kr_date,format,media,notes
Batman: Arkham Origins Blackgate,Armature Studio,Warner Bros. Interactive Entertainment,Action-adventure,Yes,,,,,,,,
Battalion Commander,A-steroids,Smartphone Labs,Shooter,No,,,,,,,,
Battle Rockets,Gumbo Machine Fordesoft,Gumbo Machine,"Shooter, Fighting",Yes,,,,,,,,
Believer!,HuneX,D3 Publisher,Otome game,Yes,,,,,,,,
Ben 10: Galactic Racing,Monkey Bar Games,D3 Publisher,Racing,Yes,,,,,,,,
Beniiro Tenjō Ayakashi Kitan Futaai,HolicWorks,Dramatic Create,Visual novel,Yes,,,,,,,,
Bentley's Hackpack,Sanzaru Games,Sony Computer Entertainment,Arcade,No,,,,,,,,
Bento Fujiyama Tamagoyaki,iTA-Choco Systems,Pygmy Studio,Simulation,No,,,,,,,,
Berserk and the Band of the Hawk,Omega Force,Koei Tecmo,Action,Yes,,,,,,,,
Best of Arcade Games,Eko Software,Bigben Interactive,Arcade,Yes,,,,,,,,
Best of Board Games,Bigben Interactive,Bigben Interactive,Arcade,Yes,,,,,,,,
Big Dipper,Top Hat Studios Inc,Top Hat Studios Inc,Visual novel,Yes,,,,,,,,
Big Sky: Infinity,Boss Baddie VooFoo Studios,Ripstone,Shooter,No,,,,,,,,
BigFest,On the Metal XDev,Sony Computer Entertainment,Simulation,No,,,,,,,,
BinaryStar,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Bit Dungeon Plus,Dolores Entertainment,JP : Cosen WW : Hidden Trap,Roguelike,No,,,,,,,,
Bit.Trip,Choice Provisions,Choice Provisions,Platform,No,,,,,,,,
Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien,Gaijin Games,Gaijin Games,Platform,Yes,,,,,,,,
Bitter Smile,Giga Daidai,Technical Group Laboratory,Visual novel,Yes,,,,,,,,
Black Wolves Saga: Weiβ und Schwarz,Rejet Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Blast 'Em Bunnies,Nnooo,JP : Teyon WW : Nnooo,Shooter,Yes,,,,,,,,
Blasting Agent: Ultimate Edition,Axol Studio Ratalaika Games,Ratalaika Games,Platform,No,,,,,,,,
BlazBlue: Chrono Phantasma,Arc System Works,JP : Arc System Works NA : Aksys Games,Fighting,Yes,,,,,,,,
BlazBlue: Chrono Phantasma Extend,Arc System Works,JP : Arc System Works NA : Aksys Games,Fighting,Yes,,,,,,,,
BlazBlue: Continuum Shift Extend,Arc System Works,JP : Arc System Works NA : Aksys Games EU : PQube,Fighting,Yes,,,,,,,,
Blind Men,Man-Eater Games,Man-Eater Games,Visual novel,Yes,,,,,,,,
Block-a-Pix Deluxe,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Bloodstained: Curse of the Moon,Inti Creates Armature Studio,505 Games,Metroidvania,Yes,,,,,,,,
Bloxiq,Blot Interactive,Blot Interactive,Puzzle,No,,,,,,,,
Blue Reflection,Gust Co. Ltd.,Koei Tecmo,Role-playing,Yes,,,,,,,,
Blue-Collar Astronaut,Mutated Software,Mutated Software,Action,No,,,,,,,,
Bodycheck,Ludometrics,Ludometrics,Sports,Yes,,,,,,,,
Boku to Nurse no Kenshū Nisshi,Prekano,Entergram,Visual novel,Yes,,,,,,,,
Boku wa Mori Sekai no Kami Tonaru,Pygmy Studio,Pygmy Studio,Action,No,,,,,,,,
Bombing Busters,Sanuk Games,Sanuk Games,Action,No,,,,,,,,
Bonds of the Skies,Hit Point,Kemco,Action role-playing,No,,,,,,,,
Boolink,Planet G,Planet G,Shoot 'em up,No,,,,,,,,
Borderlands 2,Gearbox Software Iron Galaxy Studios,Sony Computer Entertainment,First-person shooter,North America/Europe only,,,,,,,,
Boss!,Fair Play Labs,Fair Play Labs,Action,Yes,,,,,,,,
Bouncy Bullets,Ratalaika Games,Ratalaika Games,Action,No,,,,,,,,
Breach & Clear,Mighty Rabbit Studios,Gun Media,Turn-based strategy,Yes,,,,,,,,
BreakQuest: Extra Evolution,Beatshapers,Beatshapers,Action,Yes,,,,,,,,
Breeder Homegrown: Director's Cut,Sometimes You,Sometimes You,Adventure,No,,,,,,,,
Bridge Constructor,Clockstone Studio Stage Clear Studios,Headup Games,Simulation,No,,,,,,,,
Broken Age: The Complete Adventure,Double Fine Productions,Double Fine Productions,Adventure,Yes,,,,,,,,
"Broken Sword 5: The Serpent's Curse, Episode 1",Revolution Software,Revolution Software,Adventure,Yes,,,,,,,,
"Broken Sword 5: The Serpent's Curse, Episode 2",Revolution Software,Revolution Software,Adventure,No,,,,,,,,
Brotherhood United,EastAsiaSoft,EastAsiaSoft,Platform,No,,,,,,,,
Brothers Conflict: Precious Baby,Otomate,Idea Factory,Otome game Dating sim,Yes,,,,,,,,
Browser San Goku Shi Next,Marvelous Inc.,Marvelous Inc.,Strategy,No,,,,,,,,
Bucket Knight,Sometimes You,Sometimes You,Platform,No,,,,,,,,
Bullet Girls,Shade,D3 Publisher,Third-person shooter,Yes,,,,,,,,
Bullet Girls 2,Shade,D3 Publisher,Third-person shooter,Yes,,,,,,,,
Bullet Girls Phantasia,Shade,D3 Publisher,Third-person shooter,Yes,,,,,,,,
Bunny Must Die! Chelsea and the 7 Devils,Platine Dispositif,Mediascape,Platform,Yes,,,,,,,,
Buried Stars,Studio Largo,LINE Games,Visual novel,Yes,,,,,,,,
Burly Men at Sea,Brain&Brain,Brain&Brain,Adventure,No,,,,,,,,
Burn the Rope,RingZero Game Studio,Big Blue Bubble,Puzzle,No,,,,,,,,
Cafe Cuillere,Takuyo,Takuyo,Otome game,Yes,,,,,,,,
Call of Duty: Black Ops: Declassified,Nihilistic Software,Activision,First-person shooter,No,,,,,,,,
Captain Earth: Mind Labyrinth,Bandai Namco Games,Bandai Namco Games,Visual novel Puzzle,Yes,,,,,,,,
Castle Invasion: Throne Out,Cat Trap Studios,Cat Trap Studios,Tower defense,No,,,,,,,,
CastleStorm,Zen Studios,JP : Spike Chunsoft WW : Zen Studios,Tower defense,Yes,,,,,,,,
Catherine: Full Body,Atlus Studio Zero,Atlus,Puzzle-platform adventure,Yes,,,,,,,,
Cel Damage HD,Pseudo Interactive Finish Line Games,Finish Line Games,Vehicular combat,Yes,,,,,,,,
Chain Chronicle V,Sega,Sega,Role-playing,No,,,,,,,,
Chaos Rings,Media.Vision Bullet,Square Enix,Role-playing,Yes,,,,,,,,
Chaos Rings II,Media.Vision Bullet,Square Enix,Role-playing,Yes,,,,,,,,
Chaos Rings III,Media.Vision Bullet,Square Enix,Role-playing,Yes,,,,,,,,
Chaos Rings Omega,Media.Vision Bullet,Square Enix,Role-playing,Yes,,,,,,,,
Chaos;Child,5pb.,JP : 5pb. WW : PQube,Visual novel,Yes,,,,,,,,
Chaos;Child Love Chu Chu!!,5pb.,5pb.,Visual novel,Yes,,,,,,,,
Chaos;Head Love Chu Chu!!,5pb.,5pb.,Visual novel,Yes,,,,,,,,
Chaos;Head Noah,5pb.,5pb.,Visual novel,Yes,,,,,,,,
Charade Maniacs,Otomate,Idea Factory,Otome game,Yes,,,,,,,,
Chasm,Bit Kid,Bit Kid,Platform,No,,,,,,,,
Chicken Range,NYX Digital,Funbox Media,Shooter,No,,,,,,,,
Child of Light,Ubisoft Montreal,Ubisoft,Role-playing,Yes,,,,,,,,
Chronovolt,Playerthree,Playerthree,Puzzle-platform,Yes,,,,,,,,
Chronus Arc,Kemco,Kemco,Role-playing,No,,,,,,,,
ChuSinGura46+1,Inre,Dramatic Create,Visual novel,Yes,,,,,,,,
Chō no Doku Hana no Kusari: Taishō Enren Ibun,Aromarie,Prototype,Otome game,Yes,,,,,,,,
Chōchō Jiken Rhapsodic,Red Entertainment,Idea Factory,Otome game,Yes,,,,,,,,
Ciel Nosurge • Ciel Nosurge RE:Incarnation,Gust Co. Ltd.,Tecmo Koei,Simulation,No,,,,,,,,
Citizens of Earth,Eden Industries,JP : Arc System Works WW : Atlus USA,Role-playing,Yes,,,,,,,,
Civilization Revolution 2 Plus,Firaxis Games,2K Games,Strategy,No,,,,,,,,
Cladun Returns: This is Sengoku,Nippon Ichi Software,Nippon Ichi Software,Action role-playing,Yes,,,,,,,,
Claire: Extended Cut,Hailstorm Games,Hailstorm Games,Survival horror,Yes,,,,,,,,
Clannad,Key,Prototype,Visual novel,Yes,,,,,,,,
Cliff Diving,Spiral House,Sony Computer Entertainment,Arcade,No,,,,,,,,
Clock Zero: Shūen no Ichibyō ExTime,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Clover Day's,ALcot,ALcot,Visual novel,Yes,,,,,,,,
Coconut Dodge Revitalised,FuturLab,FuturLab,Puzzle,Yes,,,,,,,,
Code: Realize − Future Blessings,Otomate Design Factory,JP : Idea Factory WW : Aksys Games,Otome game,Yes,,,,,,,,
Code: Realize − Guardian of Rebirth,Otomate Design Factory,JP : Idea Factory WW : Aksys Games,Otome game,Yes,,,,,,,,
Code: Realize − Shirogane no Kiseki,Otomate Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Collar × Malice,Otomate : Design Factory,JP : Idea Factory WW : Aksys Games,Otome game,Yes,,,,,,,,
Collar × Malice: Unlimited,Otomate : Design Factory,Idea Factory,Otome game,Yes,,,,,,,,
Color Guardians,Fair Play Labs,JP : CrossFunction WW : Fair Play Labs,Action,Yes,,,,,,,,
Color Slayer,The Domaginarium,The Domaginarium,Action,No,,,,,,,,
Colors!,Collecting Smiles,Collecting Smiles,Application,Yes,,,,,,,,
Conception II: Children of the Seven Stars,Spike Chunsoft,JP : Spike Chunsoft WW : Atlus USA,Role-playing,Yes,,,,,,,,
Conga Master Go!,Rising Star Games,Hidden Trap,Rhythm,No,,,,,,,,
Contraptions,Funbox Media,Funbox Media,Action,No,,,,,,,,
Corpse Party: Blood Drive,Team GrisGris 5pb.,JP : 5pb. WW : Xseed Games,Adventure,Yes,,,,,,,,
Corridor Z,Mass Creation,Mass Creation,Endless runner,No,,,,,,,,
Cosmic Star Heroine,Zeboyd Games,Zeboyd Games,Role-playing,No,,,,,,,,
Cosmophony,Bento-Studio Moving Player,Moving Player,Rail shooter,No,,,,,,,,
CounterSpy,Dynamighty,Sony Computer Entertainment,Action,Yes,,,,,,,,
Crank In,Petit Reve,Future Tech Lab,Otome game,Yes,,,,,,,,
Crazy Market,The Game Atelier,The Game Atelier,Puzzle,No,,,,,,,,
Criminal Girls 2: Party Favors,Imageepoch,Nippon Ichi Software,Role-playing,Yes,,,,,,,,
Criminal Girls: Invite Only,Imageepoch,Nippon Ichi Software,Role-playing,Yes,,,,,,,,
Crimsonland,10tons,10tons,Shooter,Yes,,,,,,,,
Croixleur Sigma,Souvenir Circ.,Playism,Hack and slash,Yes,,,,,,,,
Cross Ange: Tenshi to Ryū no Rondo tr.,Shade,Bandai Namco Entertainment,Action,No,,,,,,,,
Cross Channel: For All People,FlyingShine Willplus Regista,5pb.,Visual novel,Yes,,,,,,,,
Crossovers By POWGI,Lightwood Games,Lightwood Games,Puzzle,No,,,,,,,,
Crypt of the NecroDancer,Brace Yourself Games BlitWorks,JP : Spike Chunsoft WW : Brace Yourself Games,Roguelike rhythm,Yes (1-2 players),,,,,,,,
