Title,Developer,Publisher,Genre,Notes
Photo Kano Kiss AR,Dingo Inc.,Kadokawa Games,Application,
Photon Cubed,Smileaxe,Smileaxe,Puzzle,
Pic-a-Pix Classic,Lightwood Games,Lightwood Games,Puzzle,
Pic-a-Pix Classic 2,Lightwood Games,Lightwood Games,Puzzle,
Pic-a-Pix Color,Lightwood Games,Lightwood Games,Puzzle,
Pic-a-Pix Color 2,Lightwood Games,Lightwood Games,Puzzle,
Pic-a-Pix Pieces,Lightwood Games,Lightwood Games,Puzzle,
Pic-a-Pix Pieces 2,Lightwood Games,Lightwood Games,Puzzle,
Picotto Knights,GungHo Online Entertainment,GungHo Online Entertainment,Action role-playing,
Pinball Heroes: Complete,San Diego Studio,Sony Computer Entertainment,Pinball,
Piofiore no Banshō,Otomate,Idea Factory,Otome game,
Pirate Solitaire,Creobit,4Hit,Puzzle,
Pix the Cat,Pastagames,Pastagames,Arcade,
Pixel Hunter,Lemondo Entertainment,Lemondo Entertainment,Sidescroller,
Pixeljunk Monsters Ultimate HD,Double Eleven : Q-Games,Double Eleven,Tower defense,
Pixeljunk Shooter Ultimate,Double Eleven : Q-Games,Double Eleven,Shooter,
Plague Road,Arcade Distillery,Arcade Distillery,Roguelike,
Planet RIX-13,Sometimes You,Sometimes You,Adventure,
Plantera,VaragtP Ratalaika Games,Ratalaika Games,Simulation,
Plants vs. Zombies,PopCap Games,Electronic Arts,Tower defense,
Plastic Memories,5pb.,5pb.,Visual novel,
PlayStation All-Stars Battle Royale,SuperBot Entertainment Santa Monica Studio Bluepoint Games,Sony Computer Entertainment,Fighting,
PlayStation Vita Pets,Spiral House XDev,Sony Computer Entertainment,Pet-raising simulation,
Playstation Home Arcade,Sony Computer Entertainment,Sony Computer Entertainment,Arcade,
Pocket God vs. Desert Ashes,"Nine Tales Digital, Bolt Creative",Nine Tales Digital,Tower defense,
Pocket RPG,Crescent Moon Games,Tasty Poison Games,Role-playing,
Polara,Flyhigh Works,Flyhigh Works (JP) Qubic Games (NA),Platform,
Poltergeist: A Pixelated Horror,Glitchy Pixel,Glitchy Pixel,Puzzle,
Possession Magenta,HuneX,Comfort,Otome game,
Power Pro Stadium,Baseball Content Studio,Konami,Card game,
PoxNora,Desert Owl Games,Desert Owl Games,Turn-based strategy,
Present for You,Nail,Daidai Inc.,Visual novel,
PriministAr,Hooksoft,Entergram,Visual novel,
Prince of Stride,"Vridge, Kadokawa Games",Kadokawa Games,Otome game,
Princess Arthur,Otomate,Idea Factory,Otome game,
Princess Strike!,Atu Works,Daidai,Visual novel,
Pro Yakyū Spirits 2012,Baseball Content Studio,Konami,Sports,
Pro Yakyū Spirits 2013,Baseball Content Studio,Konami,Sports,
Pro Yakyū Spirits 2014,Baseball Content Production,Konami,Sports,
Pro Yakyū Spirits 2015,Baseball Content Production,Konami,Sports,
Pro Yakyū Spirits 2019,Baseball Content Production,Konami,Sports,
Project Root,OPQAM,JP : CrossFunction WW : Reverb Triple XP,Shoot 'em up,
Proteus,Ed Key David Kanaga Curve Studios,Curve Digital,Exploration,
Psychedelica of the Ashen Hawk,Otomate,JP : Idea Factory WW : Aksys Games,Visual novel,
Psychedelica of the Black Butterfly,Otomate,JP : Idea Factory WW : Aksys Games,Visual novel,
PsychicEmotion6,Otomate,Idea Factory,Otome game,
Psycho-Pass: Mandatory Happiness,Unico,JP : 5pb. WW : NIS America,Visual novel,
Puddle,Neko Entertainment,Neko Entertainment,Puzzle-platform,
Puella Magi Madoka Magica: The Battle Pentagram,Artdink,Bandai Namco Games,Action,
PulzAR,Exient Entertainment XDev,Sony Computer Entertainment,Puzzle,
Pumped BMX +,"Yeah, Us! Curve Studios",Curve Digital,Platform,
Punch Line,5pb.,5pb.,Adventure,
Puramai Wars V,ASa Project,Entergram,Visual novel,
Pure Chess,VooFoo Studios,Ripstone,Board game,
Pushy and Pully in Blockland,Resistance Studio,EastAsiaSoft,Puzzle,
Putty Squad,System 3 East Point Software,Maximum Games,Platform,
Puyo Puyo Tetris,Sonic Team,Sega,Puzzle,
Puzzle by Nikoli V Slitherlink,Hamster Corporation,Hamster Corporation,Puzzle,
Puzzle by Nikoli V Sudoku,Hamster Corporation,Hamster Corporation,Puzzle,
Q*bert Rebooted,Gonzo Games Sideline Amusements,Loot Interactive,Puzzle,
Quell Memento,Fallen Tree Games,Fallen Tree Games,Puzzle,
RE:VICE[D],Otomate Design Factory,Idea Factory,Otome game,
ROOT∞REXX,Otomate,Idea Factory,Otome game Rhythm,
Rabi Laby,Silver Star,Silver Star,Puzzle,
Rabi-Ribi,CreSpirit,NA : Sekai Project EU : PQube,Platform,
Race the Sun,Flippfly,Flippfly,Endless runner,
Radio Hammer Station,F K Digital,Arc System Works,"Rhythm, fighting",
Ragnarok Odyssey,Game Arts,JP : GungHo Online Entertainment WW : Xseed Games,Action role-playing,
Ragnarok Odyssey Ace,Game Arts,JP : GungHo Online Entertainment WW : Xseed Games,Action role-playing,
Rainbow Moon,SideQuest Studios,EastAsiaSoft,Tactical role-playing,
Rainbow Skies,SideQuest Studios,EastAsiaSoft,Tactical role-playing,
Raishi,Klon,Klon,Strategy,
Raishi: Konpeki no Shō,Klon,Klon,Strategy,
Rally Copters,Depth First Games,Depth First Games,Racing,
Random Heroes: Gold Edition,Ravenous Games,Ravenous Games,Adventure,
Ratchet & Clank,Insomniac Games Mass Media Games,Sony Computer Entertainment,Action-platform,
Ratchet & Clank 2,Insomniac Games Mass Media Games,Sony Computer Entertainment,Action-platform,
Ratchet & Clank 3,Insomniac Games Mass Media Games,Sony Computer Entertainment,Action-platform,
Ratchet & Clank: Full Frontal Assault,Insomniac Games Tin Giant,Sony Computer Entertainment,"Action-platform, tower defense",
Ray Gigant,Experience,JP Bandai Namco Entertainment WW Acttil,Dungeon crawler,
Rayman Legends,Ubisoft Montpellier Ubisoft Casablanca,Ubisoft,Platform,
Rayman Origins,Ubisoft Montpellier Ubisoft Paris Ubisoft Casablanca,Ubisoft,Platform,
Re:Birthday Song Shinigami Kareshi - Another Record,Honeybee,Honeybee,Otome game,
Re:Zero kara Hajimeru Isekai Seikatsu: Death or Kiss,5pb.,5pb.,Visual novel,
Real Boxing,Vivid Games,Vivid Games,Fighting,
Reality Fighters,Novarama,Sony Computer Entertainment,Fighting,
Rear pheles: Red of Another,Matatabi,Matatabi,Otome game Adventure,
Reco Love: Blue Ocean,Dingo Inc.,Kadokawa Games,Dating sim,
Reco Love: Gold Beach,Dingo Inc.,Kadokawa Games,Dating sim,
Red Bow,Ratalaika Games,Ratalaika Games,Adventure,
Red Game Without a Great Name,iFun4All,iFun4All,Platform,
Reed 2,Crescent Moon Games,Crescent Moon Games,Platform,
Reed Remastered,Crescent Moon Games,Crescent Moon Games,Platform,
Reel Fishing: Master's Challenge,Tachyon,Natsume Inc.,Fishing,
Refrain no Chika Meikyuu to Majo no Ryodan,Nippon Ichi Software,Nippon Ichi Software,Dungeon crawler,
Rei-Jin-G-Lu-P,Kemco Dwango,Kemco,Visual novel,
Reine des Fleurs,Otomate Design Factory,Idea Factory,Otome game,
Ren'ai 0 Kilometer V,ASa Project,Alchemist,Visual novel,
Rep Kiss,Giga,Entergram,Visual novel,
Resident Evil: Revelations 2,Capcom Frima Studio,Sony Computer Entertainment,Survival horror,
Resistance: Burning Skies,Nihilistic Software,Sony Computer Entertainment,First-person shooter,
Resogun,Housemarque Climax Studios,Sony Computer Entertainment,Shoot 'em up,
Retro City Rampage,VBlank Entertainment,VBlank Entertainment,Action-adventure,
Retro City Rampage DX,VBlank Entertainment,VBlank Entertainment,Action-adventure,
Revenant Dogma,Exe Create,Kemco,Role-playing,
Revenant Saga,Exe Create,Kemco,Role-playing,
Revenge of the Bird King,Mighty Rabbit Studios,Mighty Rabbit Studios,Platform,
Reverie,Rainbite,Rainbite,Role-playing,
Rewrite,Key,Prototype,Otome game Role-playing,
Rewrite: Harvest Festa!,Key,Prototype,Visual novel,
Riddled Corpses EX,Diabolical Mind CowCat,CowCat,Shooter,
Ridge Racer,Cellius,Bandai Namco Games,Racing,
Ring Run Circus,Kalio,Kalio,Puzzle,
Rise of Mana,"Square Enix , Goshow, Fixer",Square Enix,Action role-playing,
RisingStar,Planet G,Planet G,Shooter,
Risk of Rain,Hopoo Games Code Mystics,Chucklefish,Roguelike,
Ro-Kyu-Bu! Naisho no Shutter Chance,Vridge,Kadokawa Games,Visual novel,
Robotics;Notes Elite,5pb.,5pb.,Visual novel,
Robotics;Notes Elite AR,5pb.,5pb.,Application,
Rock Boshers DX: Director's Cut,Tikipod,Tikipod,Shooter,
Rocketbirds 2: Evolution,Ratloop Asia,Ratloop (NA/EU) CrossFunction (JP),Platform,
Rocketbirds: Hardboiled Chicken,Ratloop,Ratloop,Platform,
Rodem the Wild,Pygmy Studio,Pygmy Studio,Simulation,
Rogue Aces,Infinite State Games,Infinite State Games,Shooter,
Rogue Legacy,"Cellar Door Games , Abstraction Games",Cellar Door Games,Roguelike,
Rollers of the Realm,Phantom Compass,Atlus USA (NA) Arc System Works (JP),Pinball Puzzle RPG,
Romance of the Three Kingdoms 12,Tecmo Koei,Tecmo Koei,Turn-based strategy,
Romance of the Three Kingdoms 12 with Power-Up Kit (expansion),Tecmo Koei,Tecmo Koei,Turn-based strategy,
Romance of the Three Kingdoms 13 with Power-Up Kit,Tecmo Koei,Tecmo Koei,Turn-based strategy,
Romancing SaGa 2,Square Enix,Square Enix,Role-playing,
Romancing SaGa 3,Square Enix,Square Enix,Role-playing,
Romeo VS Juliet Zenkan Pack,QuinRose,QuinRose,Otome game,
Roommates,Ratalaika Games,EastAsiaSoft,Dating sim,
Root Double: Before Crime * After Days – Xtend Edition,Regista,Yeti (JP) Sekai Project (NA),Visual novel,
Root Letter,Kadokawa Games,Kadokawa Games (JP) PQube (NA/EU),Visual novel Adventure,
Root Letter: Last Answer,Kadokawa Games,Kadokawa Games,Visual novel Adventure,
Roundabout,No Goblin,No Goblin,Puzzle,
Royal Defense,Creobit,4Hit,Tower defense,
Royal Defense: Invisible Threat,Creobit,4Hit,Tower defense,
Rozen Maiden: Wechseln Sie Welt ab,5pb.,5pb.,Visual novel,
Rugby 15,HB Studios,Bigben Interactive,Sports,
Rugby World Cup 2015,HB Studios,Bigben Interactive,Sports,
Rui wa Tomo o Yobu,Akatsuki Works,5pb.,Visual novel,
Run Like Hell,Mass Creation,Mass Creation,Endless runner,
Run Sackboy! Run!,Firesprite,Sony Computer Entertainment,Endless runner,
Rush Rover,radio,Ratalaika Games,Action,
Russian Subway Dogs,Spooky Squid Games,Spooky Squid Games,Action,
Ryūyoku no Melodia: Diva with the Blessed Dragonol,Whirlpool,Piacci,Visual novel,
SA7: Silent Ability Seven,Petit Reve,Future Tech Lab,Otome game,
SD Gundam G Generation Genesis,Tom Create,Bandai Namco Games,Tactical role-playing,
SaGa: Scarlet Grace,Square Enix,Square Enix,Role-playing,
Saenai Kanojo (Heroine) no Sodatekata: Blessing Flowers,"Guyzware, 5pb.",5pb.,Visual novel,
Sakaagari Hurricane Portable,Giga,Entergram,Visual novel,
Sakatsuku: Pro Soccer Club o Tsukurou!,Sega,Sega,Simulation,
Saki: Zenkoku-hen,Kaga Create,Kaga Create,Visual novel,
Saki: Zenkoku-hen Plus,Kaga Create,Kaga Create,Visual novel,
Sakura Sakura,Hiqo Soft,Entergram,Visual novel,
Sakurasou no Pet na Kanojo,Netchubiyori,Kadokawa Games,Visual novel,
Salt and Sanctuary,"Ska Studios , Sickhead Games",Ska Studios,Action role-playing,
Samurai & Dragons,Sega,Sega,Action role-playing,
Samurai Shodown V Special,"Yuki Enterprise, Code Mystics",SNK,Fighting,
Samurai Warriors 4,Omega Force,Tecmo Koei,Hack and slash,
Samurai Warriors 4-II,Omega Force,Koei Tecmo,Hack and slash,
Samurai Warriors 4: Empires,Omega Force,Koei Tecmo,Hack and slash,
Samurai Warriors: Chronicles 3,Omega Force,Koei Tecmo,Hack and slash,
Samurai Warriors: Sanada Maru,Omega Force,Koei Tecmo,Hack and slash,
San Goku Shi 12 Taisenban,Koei Tecmo Games,Koei Tecmo Games,Role-playing,
Sangoku Hime 2: Tenka Hatō: Shishi no Keishōsha,Gessen 18,SystemSoft Alpha,Turn-based strategy,
Sangoku Hime 4: Tenge Ryōran: Tenmei no Koi Emaki,Gessen 18,SystemSoft Alpha,Turn-based strategy,
Sangoku Rensenki: Otome no Heihō!,Daisy2,Prototype,Otome game Quiz,
Sangoku Rensenki: Otome no Heihō! Omoide Gaeshi CS Edition,Daisy2,Prototype,Otome game,
Sanzen Sekai Yūgi: ReMulti Universe Myself,girls dynamics,Dramatic Create,Otome game,
Saturday Morning RPG,Mighty Rabbit Studios,Mighty Rabbit Studios,Role-playing,
Save the Ninja Clan,"Willz, Sometimes You",Sometimes You,Platform,
Sayonara Umihara Kawase Plus,Agatsuma Entertainment,Agatsuma Entertainment,Platform,
Scared Rider Xechs Rev.,Red Entertainment,Rejet,Otome game,
School Wars: Zenkan Pack Honpen & Sotsugyō Sensen,QuinRose,QuinRose,Otome game Mini-games,
Scintillatron 4096,kFunction Ltd.,kFunction Ltd.,Shooter,
ScourgeBringer,Flying Oak Games,Dear Villagers,Platform,
Scram Kitty DX,Dakko Dakko,Dakko Dakko,Shooter,
Secret of Mana,Square Enix,Square Enix,Action role-playing,
Sekai Seifuku: Costume Fes,Spike Chunsoft,Spike Chunsoft,Card battle,
Semispheres,Vivid Helix,Vivid Helix,Puzzle,
"Sen no Hatō, Tsukisome no Kōki [ ja ]",August,Aria,Visual novel,
Sengo Muramasa DX: Guren no Kettō,Gesen 18,SystemSoft Alpha,Turn-based strategy,
Sengoku Hime 3: Tenka o Kirisaku Hika to Kage [ ja ],Gessen 18,SystemSoft Alpha,Turn-based strategy,
"Sengoku Hime 4: Sōhai Hyakkei, Hana Mamoru Chikai [ ja ]",Gessen 18,SystemSoft Alpha,Turn-based strategy,
Sengoku Hime 5: Senka Tatsu Haō No Keifu [ ja ],Gessen 18,SystemSoft Alpha,Turn-based strategy,
Sengoku Hime 7: Sen'un Tsuranuku Guren no Ishi [ ja ],Gessen 18,SystemSoft Alpha,Turn-based strategy,
Sengoku Musou 2 Empires HD Version,Omega Force,Koei Tecmo Games,Hack and slash,
Sengoku Musou 2 with Moushouden HD Version,Omega Force,Koei Tecmo Games,Hack and slash,
Sengoku Otome: Legend Battle,Shirogumi New Media Development,Planet G,Beat 'em up,
Sengoku Shura Soul,Creek and River,Lions Films,Role-playing,
Senjō no Waltz [ ja ],Otomate,Idea Factory,Otome game,
Senran Kagura Estival Versus,Tamsoft,Marvelous (JP/EU) Xseed Games (NA),Beat 'em up,
Senran Kagura Shinovi Versus,Tamsoft,Marvelous AQL (JP/EU) Xseed Games (NA),Beat 'em up,
Senran Kagura: Bon Appétit! • Senran Kagura: Bon Appétit! - Full Course,Meteorise,Marvelous AQL (JP/EU) Xseed Games (NA),Rhythm,
Sense: A Cyberpunk Ghost Story,Suzaku,"Top Hat Studios Inc, EastAsiaSoft",Adventure,
Seven Days: Anata to Sugosu Nanokakan,0Life,Prototype,Visual novel,
Severed,DrinkBox Studios,DrinkBox Studios,Action,
Shake Spears!,Wake Up Studios,Alawar Entertainment,Action,
Shakedown: Hawaii,Vblank Entertainment,Vblank Entertainment,Action-adventure,
Shantae: Half-Genie Hero,WayForward Technologies,WayForward Technologies Xseed Games,Platform,
Shikihime no Niwa,Appirits,Appirits,Action,
Shin Gundam Musou,Omega Force,Tecmo Koei,Hack and slash,
Shin Hayarigami 2 [ ja ],Nippon Ichi Software,Nippon Ichi Software,Visual novel,
Shin Hayarigami [ ja ],Nippon Ichi Software,Nippon Ichi Software,Visual novel,
Shin Kamaitachi no Yoru: Jyuichi-nin-me no Suspect,Chunsoft,Chunsoft,"Visual novel, adventure",
Shinigami to Shoujo,Takuyo,Takuyo,Visual novel,
"Shinobi, Koi Utsutsu: Kanmitsu Hana Emaki [ ja ]",Otomate,Idea Factory,Otome game,
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki [ ja ]",Otomate,Idea Factory,Otome game,
Shinobiashi,Planet G,Planet G,Action,
Shinobido 2: Revenge of Zen,Acquire,Bandai Namco Games,Stealth,
Shinsō-ban Crimson Empire [ ja ],QuinRose,QuinRose,Otome game Simulation,
Shinsō-ban Heart no Kuni no Alice: Wonderful Wonder World,QuinRose,QuinRose,Otome game,
Shinsō-ban Mahōtsukai to Goshujin-sama [ ja ],QuinRose,QuinRose,Otome game,
Shinsō-ban Okashi na Shima no Peter Pan [ ja ],QuinRose,QuinRose,Otome game,
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,Spike Chunsoft,JP : Spike Chunsoft WW : Aksys Games,Roguelike,
Shiro to Kuro no Alice,Kogado Studio,Idea Factory,Otome game,
Shiro to Kuro no Alice - Twilight Line -,Kogado Studio,Idea Factory,Otome game,
Shirogane × Spirits!,Giga,Technical Group Laboratory,Visual novel,
Shitsuji ga Aruji o Erabu Toki [ ja ],"Daidai Inc., PeasSoft",TGL,Visual novel,
Shovel Knight,Yacht Club Games,Yacht Club Games,Platform,
Shu,Coatsink Software,Coatsink Software,Platform,
Shutshimi Seriously Swole,Neon Deity Games,Choice Provisions,Shooter,
Shōjo to Dragon Genjū Keiyaku Cryptract,Lions Film,Lions Film,Role-playing,
Side Kicks!,"Extend, Toybox Inc.",Extend,Otome game,
Sigi: A Fart for Melusina,Pixel.lu,Sometimes You,Platform,
Silent Hill: Book of Memories,WayForward Technologies,Konami,Hack and slash,
Silverio Trinity,Light,Light,Visual novel,
Silverio Vendetta: Verse of Orpheus,Light,Light,Visual novel,
Simple V Series Vol. 1: The Docodemo Gal Mahjong,Tamsoft,D3 Publisher,Mahjong,
Simple V Series Vol. 2: The Tōsō Highway Fullboost: Nagoya–Tokyo Gekisō 4-jikan,Tamsoft,D3 Publisher,Action,
Sine Mora,"Digital Reality , Grasshopper Manufacture",Digital Reality,Shoot 'em up,
Sir Eatsalot,Behind the Stone,EastAsiaSoft,"Adventure, platform",
Siralim,Thylacine Studios,Thylacine Studios,Role-playing,
Siralim 2,Thylacine Studios,Thylacine Studios,Role-playing,
Skeleton Rider,iSquared Games Ltd,iSquared Games Ltd,Racing,
Sketchcross,Spiky Fish Games,Spiky Fish Games,Puzzle,
SkullPirates,Arcade Distillery,EastAsiaSoft,Action,
Skullgirls 2nd Encore,Lab Zero Games,Autumn Games (NA/EU) Arc System Works (JP),Fighting,
Sky Force Anniversary,Infinite Dreams Crunching Koalas,Infinite Dreams,Shoot 'em up,
Skylight Freerange,Dragoon Entertainment,Dragoon Entertainment,Adventure,
Skylight Freerange 2: Gachduine,Dragoon Entertainment,Dragoon Entertainment,Adventure,
Slain: Back from Hell,Wolf Brew Games 22nd Century Toys,JP : CrossFunction WW : Digerati,Hack and slash,
Slayaway Camp: Butcher's Cut,Blue Wizard Digital,Digerati Distribution,Puzzle,
Slotter Mania V: Black Lagoon,Dorasu,Dorasu,Pachinko,
Slotter Mania V: Highschool of the Dead,Dorasu,Dorasu,Pachinko,
Slotter Mania V: Zettai Shougeki II,Dorasu,Dorasu,Pachinko,
Sly 2: Band of Thieves,Sanzaru Games,Sony Computer Entertainment,Platform,
Sly 3: Honor Among Thieves,Sanzaru Games,Sony Computer Entertainment,Platform,
Sly Cooper and the Thievius Raccoonus,Sanzaru Games,Sony Computer Entertainment,Platform,
Sly Cooper: Thieves in Time,Sanzaru Games,Sony Computer Entertainment,Platform,
Smart As...,"Climax Studios , XDev",Sony Computer Entertainment,"Puzzle, brain training",
Soi Kano: Gyutto Dakishimete,Giga,Giga,Visual novel,
Sokoban Next,PalmStorm Kft.,PalmStorm Kft.,Puzzle,
Son of Scoregasm,Charlie's Games,Charlie's Games,Shooter,
Sonic & All-Stars Racing Transformed,Sumo Digital,Sega,Racing,
Sorayume [ ja ],Takuyo,Takuyo,Otome game,
Sorcery Saga: Curse of the Great Curry God,"Compile Heart , ZeroDiv",Compile Heart (JP) Aksys Games (NA) Rising Star Games (EU),Roguelike,
Soul Sacrifice,"Japan Studio , Marvelous AQL , Comcept",Sony Computer Entertainment,Action role-playing,
Soul Sacrifice Delta,"Japan Studio , Marvelous AQL , Comcept",Sony Computer Entertainment,Action role-playing,
Sound Shapes,"Queasy Games , Santa Monica Studio",Sony Computer Entertainment,Platform,
Space Hulk,Full Control,HR Games (NA) Funbox Media (EU) Digital Touch (JP),Turn-based strategy,
Space Overlords,12 Hit Combo,Excalibur,Shooter,
Spacejacked,Rotten Mage,Rotten Mage,Tower defense,
Sparkle,10tons,10tons,Puzzle,
Sparkle 2,10tons,10tons,Puzzle,
Sparkle Unleashed,10tons,10tons,Puzzle,
Spellspire,10tons,10tons,Word game,
Spelunker Collection,Tozai Games,Tozai Games,Platform,
Spelunky,Mossmouth BlitWorks,Mossmouth,Roguelike,
Spheroids,Eclipse Games,Eclipse Games,Platform,
Spider: Rite of the Shrouded Moon,Tiger Style Abstraction Games,Tiger Style,Puzzle,
Spiral Splatter,Neonchimp Games Sometimes You,Sometimes You,Puzzle,
Spirit Hunter: NG,Experience,JP : Experience WW : Aksys Games,"Visual novel, adventure",
SpongeBob HeroPants,Behaviour Interactive,Activision,Action-adventure,
Spy Chameleon: RGB Agent,Unfinished Pixel,Unfinished Pixel,Puzzle,
Spy Hunter,TT Fusion,Warner Bros. Interactive Entertainment,Vehicular combat,
Squareboy vs Bullies: Arena Edition,Rohan Narang Ratalaika Games,Ratalaika Games,Beat 'em up,
Squares,Leap Game Studios,JP : CrossFunction WW : Leap Game Studios,Puzzle,
Star Ocean: Second Evolution,tri-Ace Tose Gemdrops,Square Enix,Action role-playing,
Star Wars Pinball,Zen Studios,Zen Studios,Pinball,
Star Wars Pinball: The Force Awakens (Expansion),Zen Studios,Zen Studios,Pinball,
StarDrone Extreme,Beatshapers,Beatshapers,Action,
Stardew Valley,ConcernedApe,Chucklefish,Simulation,
Starlight Inception,Escape Hatch Entertainment,Escape Hatch Entertainment,Space simulation,
Starry Sky: Autumn Stories,Honeybee,Honeybee,Otome game,
Starry Sky: Spring Stories,Honeybee,Honeybee,Otome game,
Starry Sky: Summer Stories,Honeybee,Honeybee,Otome game,
Starry Sky: Winter Stories,Honeybee,Honeybee,Otome game,
Stay,Appnormals Team Ratalaika Games,Ratalaika Games,Adventure,
Stealth Inc 2: A Game of Clones,Curve Studios,Curve Digital,Puzzle-platform,
Stealth Inc: A Clone in the Dark,Curve Studios,Sony Computer Entertainment,Puzzle-platform,
Steam Prison: Nanatsu no Bitoku,HuneX,HuneX,Otome game,
Steam Tactics,Sometimes You,Sometimes You,Turn-based strategy,
SteamWorld Dig,Image & Form,JP : Interglow WW : Image & Form,Platform,
SteamWorld Dig 2,Image & Form,Image & Form,Platform,
SteamWorld Heist,Image & Form,Image & Form,"Turn-based strategy, action-adventure",
Steins;Gate,5pb. Nitroplus,JP : 5pb. WW : PQube,Visual novel,
Steins;Gate 0,5pb. Nitroplus,JP : 5pb. WW : PQube,Visual novel,
Steins;Gate Elite,5pb.,5pb.,Visual novel,
Steins;Gate: Hiyoku Renri no Darling,5pb.,5pb.,Visual novel,
Steins;Gate: Senkei Kōsoku no Phenogram,5pb.,5pb.,Visual novel,
Stick It to the Man!,Zoink,Ripstone,Adventure,
Still Time,Alan Zucconi,Alan Zucconi,Puzzle,
Storm Lover,Vridge,D3 Publisher,Dating sim,
Storm Lover 2nd V,Vridge,D3 Publisher,Dating sim,
Stranded: A Mars Adventure,Tama Global,Tama Global,Platform,
Stranger of Sword City,Experience,JP : Experience WW : NIS America,Dungeon crawler,
Stranger of Sword City Revisited,Experience,Experience,Dungeon crawler,
Strawberry Nauts,Hooksoft,Entergram,Visual novel,
Street Fighter X Tekken,Capcom,Capcom,Fighting,
Strike Solitaire,Creobit,4Hit,Puzzle,
Strike Solitaire 2,Creobit,4Hit,Puzzle,
SturmFront: The Mutant War - Farewell Edition,Red Art Games,Red Art Games,Shooter,
Suki to Suki to de Sankaku Ren'ai,ASa Project,ASa Project,Visual novel,
Sumioni: Demon Arts,Acquire,JP : Acquire WW : Xseed Games,Action-platform,
Summon Night 6,Media.Vision Felistella,JP : Bandai Namco Entertainment WW : Gaijinworks,Tactical role-playing,
Sunflowers,The Game Atelier,The Game Atelier,Puzzle,
Super Blackout,Fordesoft,Fordesoft,Puzzle,
Super Blast Deluxe,Raptus Games,Raptus Games,Puzzle-platform,
Super Box Land Demake,Ratalaika Games,EastAsiaSoft,Puzzle,
Super Destronaut DX,Petite Games,Ratalaika Games,Shooter,
Super Destronaut: Land Wars,Petite Games,Ratalaika Games,Shooter,
Super Exploding Zoo,Honeyslug,Honeyslug,Puzzle,
Super Hero Generation,Tom Create,Bandai Namco Games,Tactical role-playing,
Super Heroine Chronicle,Banpresto,Bandai Namco Games,Tactical role-playing,
Super Hydorah,Locomalito,Abylight Studios,Shoot 'em up,
Super Life of Pixel,Super Icon,WhiteMoon Dreams,Platform,
Super Meat Boy,"Team Meat, BlitWorks",Team Meat,Platform,
Super Monkey Ball: Banana Splitz,Marvelous AQL,Sega,Puzzle,
Super Mutant Alien Assault,Cybernate,Fellow Traveller,Shooter,
Super Robot Wars,Banpresto,Bandai Namco Games,Tactical role-playing,
Super Robot Wars Taisen Original Generation Saga: Masō Kishin 3 – Pride of Justice,Banpresto,Bandai Namco Games,Tactical role-playing,
Super Robot Wars V,Banpresto,Bandai Namco Games,Tactical role-playing,
Super Robot Wars X,Banpresto,Bandai Namco Games,Tactical role-playing,
Super Skull Smash Go! 2 Turbo,"Thomas Hopper, Tacs Games",Poppy Works,Platform,
Super Star Wars,"Sculptured Software , LucasArts , Code Mystics",Disney Interactive Studios,Run and gun,
Super Stardust Delta,Housemarque,Sony Computer Entertainment,Shoot 'em up,
Super Time Force Ultra,Capybara Games,Capybara Games,Action,
Super Weekend Mode,Pixelteriyaki,Ratalaika Games,Shooter,
Super Wiloo Demake,lightUp,Ratalaika Games,Action,
Superbeat: Xonic,Nurijoy,"Acttil, Atlus , PM Studios (NA) Rising Star Games (EU) Arc System Works (JP)",Rhythm,
Superdimension Neptune VS Sega Hard Girls [ ja ],Felistella,Compile Heart,Role-playing,
Superfrog HD,Team17,Sony Computer Entertainment,Platform,
Supermagical,Tama Games,Tama Games,Puzzle,
Supremacy MMA: Unrestricted,Kung Fu Factory,505 Games,Fighting,
Surge Deluxe,FuturLab,FuturLab,Puzzle,
SwapQuest,Rebusmind,Rebusmind,Puzzle,
Sweet Clown: Gozen San-ji no Okashi na Dōkeshi,Takuyo,Takuyo,Otome game,
Sweet Pool,Nitro+chiral,Dramatic Create,Visual novel,
Switch Galaxy Ultra,Atomicom,Atomicom,Racing,
Sword Art Online: Hollow Fragment,Aquria,Bandai Namco Games,Action role-playing,
Sword Art Online: Hollow Realization,Aquria,Bandai Namco Entertainment,Action role-playing,
Sword Art Online: Lost Song,Artdink,Bandai Namco Entertainment,Action role-playing,
Swordbreaker The Game,Sometimes You,Sometimes You,Visual novel,
Synergia,Top Hat Studios,Top Hat Studios,Visual novel,
Syrup and the Ultimate Sweet,NomnomNami,Ratalaika Games,Visual novel,
Söldner-X 2: Final Prototype,SideQuest Studios,eastasiasoft,Shoot 'em up,
Sōkai Buccaneers!,Petit Reve,Future Tech Lab,Otome game,
Sōsei no Onmyōji,Bandai Namco Entertainment,Bandai Namco Entertainment,Adventure,
Sōshū Senshinkan Gakuen: Hachimyoujin: Ten no Koku [ ja ],Light,Light,Visual novel,
Sūgaku-ryoku-ō Chūkyū,Media5,Media5,Educational,
Sūgaku-ryoku-ō Jōkyū,Media5,Media5,Educational,
Sūgaku-ryoku-ō Shokyū,Media5,Media5,Educational,
Sūran Digit,Otomate,Idea Factory,Otome game,
