Title,Developer,Publisher,Genre,Notes
Code: Realize − Shirogane no Kiseki,Otomate Design Factory,Idea Factory,Otome game,
Collar × Malice,Otomate : Design Factory,JP : Idea Factory WW : Aksys Games,Otome game,
Collar × Malice: Unlimited,Otomate : Design Factory,Idea Factory,Otome game,
Color Guardians,Fair Play Labs,JP : CrossFunction WW : Fair Play Labs,Action,
Color Slayer,The Domaginarium,The Domaginarium,Action,
Colors!,Collecting Smiles,Collecting Smiles,Application,
Conception II: Children of the Seven Stars,Spike Chunsoft,JP : Spike Chunsoft WW : Atlus USA,Role-playing,
Conga Master Go!,Rising Star Games,Hidden Trap,Rhythm,
Contraptions,Funbox Media,Funbox Media,Action,
Corpse Party: Blood Drive,Team GrisGris 5pb.,JP : 5pb. WW : Xseed Games,Adventure,
Corridor Z,Mass Creation,Mass Creation,Endless runner,
Cosmic Star Heroine,Zeboyd Games,Zeboyd Games,Role-playing,
Cosmophony,Bento-Studio Moving Player,Moving Player,Rail shooter,
CounterSpy,Dynamighty,Sony Computer Entertainment,Action,
Crank In,Petit Reve,Future Tech Lab,Otome game,
Crazy Market,The Game Atelier,The Game Atelier,Puzzle,
Criminal Girls 2: Party Favors,Imageepoch,Nippon Ichi Software,Role-playing,
Criminal Girls: Invite Only,Imageepoch,Nippon Ichi Software,Role-playing,
Crimsonland,10tons,10tons,Shooter,
Croixleur Sigma,Souvenir Circ.,Playism,Hack and slash,
Cross Ange: Tenshi to Ryū no Rondo tr.,Shade,Bandai Namco Entertainment,Action,
Cross Channel: For All People,FlyingShine Willplus Regista,5pb.,Visual novel,
Crossovers By POWGI,Lightwood Games,Lightwood Games,Puzzle,
Crypt of the NecroDancer,Brace Yourself Games BlitWorks,JP : Spike Chunsoft WW : Brace Yourself Games,Roguelike rhythm,
Crypto by POWGI,Lightwood Games,Lightwood Games,Puzzle,
Cure Mate Club,Atu Works,Daidai,Visual novel,
Curses 'N Chaos,Tribute Games,Tribute Games,Beat 'em up,
Cybarian: The Time Travelling Warrior,Lightwood Games,Lightwood Games,Platform,
D.S. Dal Segno,Circus,Entergram,Visual novel,
DISTRAINT: Deluxe Edition,Winterveil Studios Oy,Ratalaika Games,Adventure,
DJMax Technika Tune,Pentavision,JP : Cyberfront WW : Pentavision,Rhythm,
Daggerhood,Woblyware,Woblyware,Platform,
Daidai Daisuki,Kadokawa Games,Kadokawa Games,Visual novel,
Dairansō Dash or Dasshu!!,Planet G,Planet G,Arcade,
Daisenryaku Daitōa Kōbōshi 3 Dai Niji Sekai Taisen Boppatsu! Sūjiku-gun Tai Rengō-gun Zen Sekai-sen,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,
Daisenryaku Exceed II,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,
Daisenryaku Perfect: Senjō no Hasha,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,
Daisenryaku Web,SystemSoft Alpha,SystemSoft Alpha,Turn-based strategy,
Daitoshokan no Hitsujikai: Library Party,August,Aria Soft,Visual novel,
Damascus Gear: Operation Osaka,A+ Games,Arc System Works,Action role-playing,
Damascus Gear: Operation Tokyo,A+ Games,Arc System Works,Action role-playing,
DanMachi de Shooting wa Machigatteiru Darou ka,5pb.,PQube,Shoot 'em up,
Danball Senki W,Level-5,Level-5,Role-playing,
Dance with Devils,Rejet,Rejet,Otome game,
Dance with Devils: My Carol,Rejet,Rejet,Otome game,
Danganronpa 2: Goodbye Despair,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,
Danganronpa Another Episode: Ultra Despair Girls,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Action-adventure,
Danganronpa V3: Killing Harmony,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,
Danganronpa: Trigger Happy Havoc,Spike Chunsoft,JP : Spike Chunsoft WW : NIS America,Adventure,
Danjon ni Deai o Motomeru no wa Machigatteiru Darou ka? Infinite Combate,5pb.,PQube,Shooter,
Daredemo Shodan ni Nareru Igo Kyōshitsu,Silver Star,Silver Star,Go,
DariusBurst: Chronicle Saviours,Pyramid Chara-Ani G.rev,JP : Chara-Ani WW : Degica,Shoot 'em up,
